"","price","date_sold","suburb","num_bath","num_bed","num_parking","property_size","type","suburb_population","suburb_median_income","suburb_sqkm","suburb_lat","suburb_lng","suburb_elevation","cash_rate","property_inflation_index","km_from_cbd","year","type_grouped","price_per_size"
"1",530000,2016-01-13,"Kincumber",4,4,2,1351,"House",7093,29432,9.914,-33.47252,151.40208,24,2,150.9,47.05,"2016","House",392.301998519615
"2",525000,2016-01-13,"Halekulani",2,4,2,594,"House",2538,24752,1.397,-33.21772,151.55237,23,2,150.9,78.54,"2016","House",883.838383838384
"3",480000,2016-01-13,"Chittaway Bay",2,4,2,468,"House",2028,31668,1.116,-33.32678,151.44557,3,2,150.9,63.59,"2016","House",1025.64102564103
"4",452000,2016-01-13,"Leumeah",1,3,1,344,"House",9835,32292,4.055,-34.05375,150.83957,81,2,150.9,40.12,"2016","House",1313.95348837209
"5",365500,2016-01-13,"North Avoca",0,0,0,1850,"Vacant land",2200,45084,1.497,-33.45608,151.43598,18,2,150.9,49.98,"2016","others",197.567567567568
"6",550000,2016-01-15,"Kincumber",1,3,1,626,"House",7093,29432,9.914,-33.47252,151.40208,24,2,150.9,47.05,"2016","House",878.594249201278
"7",535000,2016-01-15,"Bensville",1,3,1,556,"House",2545,36764,4.925,-33.49914,151.39045,27,2,150.9,43.91,"2016","House",962.230215827338
"8",495000,2016-01-15,"Leumeah",1,3,2,582,"House",9835,32292,4.055,-34.05375,150.83957,81,2,150.9,40.12,"2016","House",850.515463917526
"9",410000,2016-01-15,"Toukley",1,3,3,493,"House",4550,25844,3.683,-33.25799,151.54324,4,2,150.9,74.11,"2016","House",831.643002028398
"10",242500,2016-01-15,"Winmalee",0,0,0,1248,"Vacant land",6202,38740,9.058,-33.67971,150.61119,263,2,150.9,59.15,"2016","others",194.310897435897
"11",890000,2016-01-18,"Picnic Point",2,4,3,715,"House",6160,40560,3.859,-33.97301,151.00632,33,2,150.9,22.31,"2016","House",1244.75524475524
"12",533000,2016-01-18,"Whalan",3,4,2,695,"House",5973,24180,2.429,-33.75572,150.80361,37,2,150.9,39.53,"2016","House",766.906474820144
"13",1120500,2016-01-19,"North Rocks",2,4,2,904,"House",7965,40092,5.462,-33.77572,151.01474,92,2,150.9,20.61,"2016","House",1239.49115044248
"14",830000,2016-01-19,"Winmalee",3,6,2,2109,"House",6202,38740,9.058,-33.67971,150.61119,263,2,150.9,59.15,"2016","House",393.551446183025
"15",675000,2016-01-19,"Bass Hill",3,3,2,263,"Townhouse",9069,24388,2.929,-33.90028,150.99309,40,2,150.9,20.43,"2016","Townhouse",2566.53992395437
"16",500000,2016-01-19,"Kincumber",1,3,1,791,"House",7093,29432,9.914,-33.47252,151.40208,24,2,150.9,47.05,"2016","House",632.111251580278
"17",473000,2016-01-19,"Leumeah",1,3,3,581,"House",9835,32292,4.055,-34.05375,150.83957,81,2,150.9,40.12,"2016","House",814.113597246127
"18",885000,2016-01-20,"Picnic Point",1,3,2,557,"Vacant land",6160,40560,3.859,-33.97301,151.00632,33,2,150.9,22.31,"2016","others",1588.86894075404
"19",625000,2016-01-20,"Chittaway Bay",2,4,2,555,"House",2028,31668,1.116,-33.32678,151.44557,3,2,150.9,63.59,"2016","House",1126.12612612613
"20",520000,2016-01-20,"Leumeah",1,3,1,651,"House",9835,32292,4.055,-34.05375,150.83957,81,2,150.9,40.12,"2016","House",798.771121351767
"21",510000,2016-01-20,"Winmalee",1,3,1,993,"House",6202,38740,9.058,-33.67971,150.61119,263,2,150.9,59.15,"2016","House",513.595166163142
"22",610000,2016-01-21,"Chittaway Bay",3,5,8,862,"House",2028,31668,1.116,-33.32678,151.44557,3,2,150.9,63.59,"2016","House",707.656612529002
"23",570000,2016-01-21,"Winmalee",1,3,2,828,"House",6202,38740,9.058,-33.67971,150.61119,263,2,150.9,59.15,"2016","House",688.405797101449
"24",555000,2016-01-21,"Bensville",2,4,0,748,"House",2545,36764,4.925,-33.49914,151.39045,27,2,150.9,43.91,"2016","House",741.978609625668
"25",1250000,2016-01-22,"North Rocks",1,3,4,900,"House",7965,40092,5.462,-33.77572,151.01474,92,2,150.9,20.61,"2016","House",1388.88888888889
"26",540000,2016-01-22,"Kincumber",1,3,2,623,"House",7093,29432,9.914,-33.47252,151.40208,24,2,150.9,47.05,"2016","House",866.77367576244
"27",395000,2016-01-22,"Kincumber",1,1,0,642,"House",7093,29432,9.914,-33.47252,151.40208,24,2,150.9,47.05,"2016","House",615.264797507788
"28",272500,2016-01-22,"The Entrance North",1,1,1,122,"Apartment / Unit / Flat",1474,31148,1.018,-33.33333,151.50775,0,2,150.9,65.14,"2016","Apartment / Unit / Flat",2233.60655737705
"29",2300000,2016-01-25,"Concord",3,5,2,556,"House",14533,39052,5.058,-33.85608,151.10677,6,2,150.9,9.6,"2016","House",4136.69064748201
"30",940000,2016-01-25,"Acacia Gardens",2,4,2,560,"House",3798,47060,1.001,-33.73411,150.91377,88,2,150.9,31.04,"2016","House",1678.57142857143
"31",695000,2016-01-25,"Wetherill Park",1,3,2,550,"House",6127,25688,11.214,-33.84214,150.89843,43,2,150.9,28.94,"2016","House",1263.63636363636
"32",930000,2016-01-26,"Picnic Point",1,4,5,607,"House",6160,40560,3.859,-33.97301,151.00632,33,2,150.9,22.31,"2016","House",1532.12520593081
"33",2300000,2016-01-27,"Dolans Bay",5,5,6,1151,"House",598,46800,0.259,-34.06337,151.12578,26,2,150.9,23.32,"2016","House",1998.26238053866
"34",670000,2016-01-27,"North Avoca",2,4,2,556,"House",2200,45084,1.497,-33.45608,151.43598,18,2,150.9,49.98,"2016","House",1205.03597122302
"35",557000,2016-01-27,"Bensville",2,3,2,556,"House",2545,36764,4.925,-33.49914,151.39045,27,2,150.9,43.91,"2016","House",1001.79856115108
"36",558000,2016-01-28,"Chittaway Bay",2,4,3,771,"House",2028,31668,1.116,-33.32678,151.44557,3,2,150.9,63.59,"2016","House",723.735408560311
"37",550000,2016-01-28,"Kincumber",1,3,1,618,"House",7093,29432,9.914,-33.47252,151.40208,24,2,150.9,47.05,"2016","House",889.967637540453
"38",2015000,2016-01-29,"Concord",2,4,2,581,"House",14533,39052,5.058,-33.85608,151.10677,6,2,150.9,9.6,"2016","House",3468.15834767642
"39",2000000,2016-01-29,"Greenhills Beach",4,5,5,669,"House",792,59592,0.539,-34.03624,151.1585,6,2,150.9,19.56,"2016","House",2989.53662182362
"40",936000,2016-01-29,"North Rocks",1,3,1,710,"House",7965,40092,5.462,-33.77572,151.01474,92,2,150.9,20.61,"2016","House",1318.30985915493
"41",1500000,2016-01-30,"North Rocks",4,5,3,987,"House",7965,40092,5.462,-33.77572,151.01474,92,2,150.9,20.61,"2016","House",1519.75683890578
"42",712000,2016-01-30,"Bass Hill",1,3,3,758,"House",9069,24388,2.929,-33.90028,150.99309,40,2,150.9,20.43,"2016","House",939.313984168865
"43",646000,2016-01-30,"North Avoca",1,1,2,601,"House",2200,45084,1.497,-33.45608,151.43598,18,2,150.9,49.98,"2016","House",1074.87520798669
"44",1180000,2016-01-31,"North Rocks",3,4,2,720,"House",7965,40092,5.462,-33.77572,151.01474,92,2,150.9,20.61,"2016","House",1638.88888888889
"45",1930000,2016-02-13,"Croydon",3,4,4,506,"House",10612,34996,2.435,-33.88062,151.1169,28,2,150.9,8.77,"2016","House",3814.22924901186
"46",1670000,2016-02-13,"Elanora Heights",2,4,2,800,"House",4357,44460,3.877,-33.70172,151.27318,105,2,150.9,19.05,"2016","House",2087.5
"47",1600000,2016-02-13,"Leichhardt",1,4,0,177,"House",14625,56784,2.595,-33.88143,151.15595,31,2,150.9,5.31,"2016","House",9039.54802259887
"48",850000,2016-02-13,"Chittaway Bay",3,4,4,695,"House",2028,31668,1.116,-33.32678,151.44557,3,2,150.9,63.59,"2016","House",1223.02158273381
"49",828000,2016-02-13,"Wetherill Park",2,3,1,563,"House",6127,25688,11.214,-33.84214,150.89843,43,2,150.9,28.94,"2016","House",1470.69271758437
"50",580000,2016-02-13,"Narara",1,3,1,601,"House",7934,34632,8.242,-33.39553,151.33681,10,2,150.9,53.4,"2016","House",965.058236272879
"51",1280000,2016-02-15,"Concord",2,3,2,335,"Semi-Detached",14533,39052,5.058,-33.85608,151.10677,6,2,150.9,9.6,"2016","others",3820.89552238806
"52",930000,2016-02-15,"Canley Vale",2,4,3,1080,"House",10216,20592,2.887,-33.88495,150.95058,11,2,150.9,24.09,"2016","House",861.111111111111
"53",900000,2016-02-15,"Killcare Heights",2,4,6,702,"House",745,40716,2.146,-33.52256,151.37418,127,2,150.9,40.94,"2016","House",1282.05128205128
"54",710000,2016-02-15,"Bass Hill",1,3,2,638,"House",9069,24388,2.929,-33.90028,150.99309,40,2,150.9,20.43,"2016","House",1112.8526645768
"55",553000,2016-02-15,"Bensville",1,3,1,771,"House",2545,36764,4.925,-33.49914,151.39045,27,2,150.9,43.91,"2016","House",717.250324254215
"56",2949000,2016-02-16,"North Turramurra",4,5,2,950,"New House & Land",4257,42484,11.614,-33.69054,151.15407,169,2,150.9,20.05,"2016","others",3104.21052631579
"57",1180000,2016-02-16,"North Rocks",2,4,2,735,"House",7965,40092,5.462,-33.77572,151.01474,92,2,150.9,20.61,"2016","House",1605.44217687075
"58",1030000,2016-02-16,"Avalon Beach",1,3,4,650,"House",9905,43628,5.131,-33.62899,151.32686,46,2,150.9,28.35,"2016","House",1584.61538461538
"59",905000,2016-02-16,"Panania",2,4,1,278,"Duplex",12419,34216,4.751,-33.95493,150.99524,18,2,150.9,22.21,"2016","others",3255.39568345324
"60",750000,2016-02-16,"Bass Hill",2,4,2,290,"Duplex",9069,24388,2.929,-33.90028,150.99309,40,2,150.9,20.43,"2016","others",2586.20689655172
"61",580000,2016-02-16,"Bensville",2,3,1,1764,"House",2545,36764,4.925,-33.49914,151.39045,27,2,150.9,43.91,"2016","House",328.798185941043
"62",1325000,2016-02-17,"North Rocks",2,5,2,739,"House",7965,40092,5.462,-33.77572,151.01474,92,2,150.9,20.61,"2016","House",1792.96346414073
"63",1130000,2016-02-17,"Rosehill",1,3,0,948,"House",3806,39624,3.67,-33.82647,151.03151,4,2,150.9,17.06,"2016","House",1191.98312236287
"64",1100000,2016-02-17,"Picnic Point",1,3,4,975,"House",6160,40560,3.859,-33.97301,151.00632,33,2,150.9,22.31,"2016","House",1128.20512820513
"65",1039000,2016-02-17,"Lansvale",3,5,2,569,"House",2570,25376,2.893,-33.89877,150.96071,5,2,150.9,23.35,"2016","House",1826.01054481547
"66",977000,2016-02-17,"Petersham",1,2,0,170,"House",8116,52884,1.287,-33.89452,151.1556,41,2,150.9,5.99,"2016","House",5747.05882352941
"67",320000,2016-02-17,"Rosemeadow",0,0,0,592,"Vacant land",7862,32864,2.976,-34.10624,150.79181,149,2,150.9,46.98,"2016","others",540.540540540541
"68",2300000,2016-02-18,"Ultimo",2,4,0,134,"House",8845,20072,0.559,-33.87941,151.19845,23,2,150.9,1.9,"2016","House",17164.1791044776
"69",1500000,2016-02-18,"Leichhardt",2,4,0,177,"House",14625,56784,2.595,-33.88143,151.15595,31,2,150.9,5.31,"2016","House",8474.57627118644
"70",1400000,2016-02-19,"Croydon",2,3,3,394,"House",10612,34996,2.435,-33.88062,151.1169,28,2,150.9,8.77,"2016","House",3553.29949238579
"71",1265000,2016-02-19,"Leichhardt",1,3,0,220,"House",14625,56784,2.595,-33.88143,151.15595,31,2,150.9,5.31,"2016","House",5750
"72",510000,2016-02-19,"Narara",2,5,2,1037,"House",7934,34632,8.242,-33.39553,151.33681,10,2,150.9,53.4,"2016","House",491.803278688525
"73",1720000,2016-02-20,"Concord",1,4,2,512,"House",14533,39052,5.058,-33.85608,151.10677,6,2,150.9,9.6,"2016","House",3359.375
"74",1340000,2016-02-20,"Burwood",1,2,2,273,"House",16030,24856,2.435,-33.87838,151.10412,33,2,150.9,9.9,"2016","House",4908.42490842491
"75",1300000,2016-02-20,"Avalon Beach",3,4,2,696,"House",9905,43628,5.131,-33.62899,151.32686,46,2,150.9,28.35,"2016","House",1867.81609195402
"76",1180000,2016-02-20,"Eastlakes",2,3,3,335,"House",6912,25740,2.003,-33.93108,151.21145,18,2,150.9,7.32,"2016","House",3522.38805970149
"77",1110000,2016-02-20,"Picnic Point",1,3,1,620,"House",6160,40560,3.859,-33.97301,151.00632,33,2,150.9,22.31,"2016","House",1790.32258064516
"78",875000,2016-02-20,"Panania",2,3,1,556,"House",12419,34216,4.751,-33.95493,150.99524,18,2,150.9,22.21,"2016","House",1573.74100719424
"79",865000,2016-02-20,"Panania",1,3,2,556,"House",12419,34216,4.751,-33.95493,150.99524,18,2,150.9,22.21,"2016","House",1555.75539568345
"80",862000,2016-02-22,"Panania",2,4,2,355,"Semi-Detached",12419,34216,4.751,-33.95493,150.99524,18,2,150.9,22.21,"2016","others",2428.16901408451
"81",595000,2016-02-22,"Avalon Beach",1,1,1,140,"Apartment / Unit / Flat",9905,43628,5.131,-33.62899,151.32686,46,2,150.9,28.35,"2016","Apartment / Unit / Flat",4250
"82",520000,2016-02-23,"Kincumber",1,3,1,602,"House",7093,29432,9.914,-33.47252,151.40208,24,2,150.9,47.05,"2016","House",863.787375415282
"83",495000,2016-02-23,"Killarney Vale",1,3,1,626,"House",7216,30108,3.018,-33.36629,151.4607,8,2,150.9,60.03,"2016","House",790.73482428115
"84",870000,2016-02-24,"Killcare Heights",3,4,4,955,"House",745,40716,2.146,-33.52256,151.37418,127,2,150.9,40.94,"2016","House",910.994764397906
"85",730000,2016-02-24,"Kincumber",2,4,2,624,"House",7093,29432,9.914,-33.47252,151.40208,24,2,150.9,47.05,"2016","House",1169.87179487179
"86",715000,2016-02-24,"Bensville",3,5,2,732,"House",2545,36764,4.925,-33.49914,151.39045,27,2,150.9,43.91,"2016","House",976.775956284153
